Processor information: 1 socket(s), 6 core(s), and 12 thread(s) available
GAMS 45.5.0   Copyright (C) 1987-2023 GAMS Development. All rights reserved
---   3,428 rows  3,573 columns  12,038 non-zeroes
---   4,265 nl-code  2,082 nl-non-zeroes
--- Range statistics (absolute non-zero finite values)
--- RHS       [min, max] : [ 4.561E-04, 3.000E+03] - Zero values observed as well
--- Bound     [min, max] : [ 5.000E-05, 1.927E+03] - Zero values observed as well
--- Matrix    [min, max] : [ 6.345E-06, 1.447E+07] - Zero values observed as well
--- Executing BARON (Solvelink=2): elapsed 0:00:00.268

GAMS/BARON       45.5.0 8d95ac18 Dec 14, 2023          WEI x86 64bit/MS Window

===========================================================================
 BARON version 23.6.22. Built: WIN-64 Thu Jun 22 20:11:26 EDT 2023

 BARON is a product of The Optimization Firm.
 For information on BARON, see https://minlp.com/about-baron

 If you use this software, please cite publications from
 https://minlp.com/baron-publications, such as: 

 Khajavirad, A. and N. V. Sahinidis,
 A hybrid LP/NLP paradigm for global optimization relaxations,
 Mathematical Programming Computation, 10, 383-421, 2018.
===========================================================================
 This BARON run may utilize the following subsolver(s)
 For LP/MIP/QP: CLP/CBC, ILOG CPLEX                             
 For NLP: MINOS, SNOPT, External NLP, IPOPT, FILTERSQP
===========================================================================
 Doing local search
 Solving bounding LP
 Starting multi-start local search
 Preprocessing found feasible solution with value 0.336229E+08
 Done with local search
===========================================================================
  Iteration    Open nodes         Time (s)    Lower bound      Upper bound
     114959         49459         13082.41     0.341680E+08     0.379680E+08   
     115287         49602         13112.41     0.341680E+08     0.379678E+08   
     115626+        49754         13142.42     0.341680E+08     0.379676E+08   
     115828         49842         13172.56     0.341680E+08     0.379673E+08   
     115873         49859         13202.77     0.341680E+08     0.379672E+08   
     116047         49929         13232.77     0.341680E+08     0.379670E+08   
     116392         50075         13262.84     0.341680E+08     0.379668E+08   
     116777         50243         13292.91     0.341680E+08     0.379664E+08   
     117107         50385         13322.92     0.341680E+08     0.379662E+08   
     117393         50514         13352.97     0.341680E+08     0.379653E+08   
     117723         50655         13383.06     0.341680E+08     0.379646E+08   
     118085         50807         13413.12     0.341680E+08     0.379642E+08   
     118403         50939         13443.11     0.341680E+08     0.379641E+08   
     118780         51107         13473.09     0.341680E+08     0.379635E+08   
     119128         51254         13503.14     0.341680E+08     0.379632E+08   
     119481         51404         13533.14     0.341680E+08     0.379625E+08   
     119783         51530         13563.17     0.341680E+08     0.379620E+08   
     120076         51654         13593.17     0.341680E+08     0.379614E+08   
     120370         51777         13623.30     0.341680E+08     0.379609E+08   
     120588         51873         13653.62     0.341680E+08     0.379605E+08   
     120679         51912         13683.64     0.341680E+08     0.379604E+08   
     120811         51966         13713.69     0.341680E+08     0.379603E+08   
     121165         52113         13743.78     0.341680E+08     0.379597E+08   
     121514         52265         13773.78     0.341680E+08     0.379593E+08   
     121866         52410         13803.91     0.341680E+08     0.379591E+08   
     122177         52546         13833.98     0.341680E+08     0.379585E+08   
     122463         52663         13864.00     0.341680E+08     0.379583E+08   
     122780         52799         13894.09     0.341680E+08     0.379578E+08   
     123085         52928         13923.97     0.341680E+08     0.379573E+08   
     123412         53073         13954.03     0.341680E+08     0.379567E+08   
     123752         53217         13984.12     0.341680E+08     0.379562E+08   
     124067         53350         14014.16     0.341680E+08     0.379555E+08   
     124388         53484         14044.19     0.341680E+08     0.379549E+08   
     124758         53648         14074.23     0.341680E+08     0.379543E+08   
     125134         53812         14104.25     0.341680E+08     0.379537E+08   
     125515         53979         14134.36     0.341680E+08     0.379532E+08   
     125820         54109         14164.36     0.341680E+08     0.379528E+08   
     126168         54256         14194.38     0.341680E+08     0.379524E+08   
     126497         54402         14224.38     0.341680E+08     0.379518E+08   
     126852         54554         14254.52     0.341680E+08     0.379513E+08   
     127192         54699         14284.50     0.341680E+08     0.379508E+08   
     127507         54831         14314.50     0.341680E+08     0.379503E+08   
     127817         54962         14344.56     0.341680E+08     0.379498E+08   
     128138         55099         14374.56     0.341680E+08     0.379495E+08   
     128500         55248         14404.56     0.341680E+08     0.379493E+08   
     128803         55382         14434.61     0.341680E+08     0.379491E+08   
     129103         55510         14464.69     0.341680E+08     0.379481E+08   
     129411         55634         14494.80     0.341680E+08     0.379479E+08   
     129684         55758         14524.88     0.341680E+08     0.379474E+08   
     129840+        55825         14554.94     0.341680E+08     0.379471E+08   
     129875+        55839         14585.20     0.341680E+08     0.379471E+08   
     129886+        55842         14615.38     0.341680E+08     0.379471E+08   
     129896+        55842         14645.58     0.341680E+08     0.379470E+08   
     129913         55852         14675.81     0.341680E+08     0.379469E+08   
     130085         55924         14705.11     0.341680E+08     0.379468E+08   
     130427         56063         14735.19     0.341680E+08     0.379465E+08   
     130753         56204         14765.20     0.341680E+08     0.379460E+08   
     131063         56339         14795.20     0.341680E+08     0.379458E+08   
     131333         56454         14825.02     0.341680E+08     0.379456E+08   
     131454         56509         14855.06     0.341680E+08     0.379454E+08   
     131579         56565         14885.20     0.341680E+08     0.379452E+08   
     131741         56631         14915.39     0.341680E+08     0.379450E+08   
     131877         56682         14945.39     0.341680E+08     0.379448E+08   
     132110         56780         14975.44     0.341680E+08     0.379445E+08   
     132319         56860         15005.44     0.341680E+08     0.379442E+08   
     132448         56917         15035.53     0.341680E+08     0.379441E+08   
     132574         56975         15065.64     0.341680E+08     0.379440E+08   
     132754         57050         15095.75     0.341680E+08     0.379438E+08   
     133039         57167         15125.73     0.341680E+08     0.379434E+08   
     133372         57312         15155.73     0.341680E+08     0.379429E+08   
     133735         57462         15185.73     0.341680E+08     0.379421E+08   
     134078         57609         15215.73     0.341680E+08     0.379416E+08   
     134338         57721         15245.75     0.341680E+08     0.379412E+08   
     134619         57846         15275.77     0.341680E+08     0.379407E+08   
     134969         57993         15305.80     0.341680E+08     0.379403E+08   
     135244         58112         15335.84     0.341680E+08     0.379401E+08   
     135388         58178         15366.05     0.341680E+08     0.379401E+08   
     135523         58236         15396.06     0.341680E+08     0.379400E+08   
     135663         58299         15426.27     0.341680E+08     0.379399E+08   
     135777         58345         15456.52     0.341680E+08     0.379398E+08   
     135897         58393         15486.52     0.341680E+08     0.379398E+08   
     136020         58443         15516.56     0.341680E+08     0.379397E+08   
     136144         58498         15546.58     0.341680E+08     0.379396E+08   
     136282         58551         15576.61     0.341680E+08     0.379395E+08   
     136382         58592         15606.83     0.341680E+08     0.379391E+08   
     136598         58683         15636.86     0.341680E+08     0.379385E+08   
     136834         58786         15666.88     0.341680E+08     0.379383E+08   
     137175         58933         15696.86     0.341680E+08     0.379378E+08   
     137517         59076         15726.88     0.341680E+08     0.379371E+08   
     137872         59223         15756.66     0.341680E+08     0.379368E+08   
     138196         59363         15786.67     0.341680E+08     0.379365E+08   
     138520         59500         15816.69     0.341680E+08     0.379358E+08   
     138826         59634         15846.75     0.341680E+08     0.379354E+08   
     139096         59753         15876.75     0.341680E+08     0.379347E+08   
     139316         59849         15906.78     0.341680E+08     0.379339E+08   
     139514         59932         15936.92     0.341680E+08     0.379337E+08   
     139550+        59945         15967.08     0.341680E+08     0.379337E+08   
     139669         60000         15997.08     0.341680E+08     0.379334E+08   
     140002         60140         16027.12     0.341680E+08     0.379331E+08   
     140352         60298         16057.23     0.341680E+08     0.379327E+08   
     140684         60444         16087.20     0.341680E+08     0.379320E+08   
     141030         60595         16117.20     0.341680E+08     0.379315E+08   
     141402         60761         16147.28     0.341680E+08     0.379308E+08   
     141755         60916         16177.30     0.341680E+08     0.379304E+08   
     142049         61048         16207.36     0.341680E+08     0.379299E+08   
     142360         61183         16237.38     0.341680E+08     0.379296E+08   
     142668         61312         16267.39     0.341680E+08     0.379291E+08   
     142942         61425         16297.36     0.341680E+08     0.379287E+08   
     143256         61562         16327.39     0.341680E+08     0.379279E+08   
     143539         61678         16357.41     0.341680E+08     0.379276E+08   
     143691         61741         16387.75     0.341680E+08     0.379274E+08   
     143818         61794         16417.81     0.341680E+08     0.379272E+08   
     144011         61877         16447.97     0.341680E+08     0.379269E+08   
     144215         61967         16477.97     0.341680E+08     0.379266E+08   
     144268         61989         16508.14     0.341680E+08     0.379266E+08   
     144374         62038         16538.12     0.341680E+08     0.379266E+08   
     144722         62197         16568.14     0.341680E+08     0.379265E+08   
     145077         62345         16598.12     0.341680E+08     0.379262E+08   
     145455         62504         16628.12     0.341680E+08     0.379258E+08   
     145744         62633         16658.03     0.341680E+08     0.379256E+08   
     146081         62777         16688.25     0.341680E+08     0.379252E+08   
     146419         62913         16718.30     0.341680E+08     0.379248E+08   
     146699         63045         16746.67     0.341680E+08     0.379245E+08   
     147020         63189         16776.62     0.341680E+08     0.379243E+08   
     147354         63327         16806.61     0.341680E+08     0.379240E+08   
     147708         63475         16836.61     0.341680E+08     0.379236E+08   
     148059         63623         16866.64     0.341680E+08     0.379234E+08   
     148372         63754         16896.67     0.341680E+08     0.379227E+08   
     148710         63897         16926.69     0.341680E+08     0.379224E+08   
     149049         64041         16956.70     0.341680E+08     0.379220E+08   
     149375         64188         16986.86     0.341680E+08     0.379215E+08   
     149638         64301         17016.91     0.341680E+08     0.379212E+08   
     149983         64441         17046.91     0.341680E+08     0.379210E+08   
     150294         64575         17075.73     0.341680E+08     0.379205E+08   
     150609         64702         17105.52     0.341680E+08     0.379200E+08   
     150953         64847         17135.64     0.341680E+08     0.379194E+08   
     151329         65016         17165.73     0.341680E+08     0.379189E+08   
     151652         65155         17195.73     0.341680E+08     0.379184E+08   
     152000         65307         17225.75     0.341680E+08     0.379180E+08   
     152320         65448         17255.77     0.341680E+08     0.379177E+08   
     152660         65596         17285.89     0.341680E+08     0.379171E+08   
     153038         65763         17315.86     0.341680E+08     0.379169E+08   
     153357         65898         17346.09     0.341680E+08     0.379164E+08   
     153719         66049         17376.08     0.341680E+08     0.379161E+08   
     154062         66189         17406.08     0.341680E+08     0.379158E+08   
     154340         66316         17436.08     0.341680E+08     0.379156E+08   
     154602         66426         17466.08     0.341680E+08     0.379154E+08   
     154914         66566         17496.19     0.341680E+08     0.379149E+08   
     155168+        66666         17526.39     0.341680E+08     0.379146E+08   
     155227+        66694         17556.42     0.341680E+08     0.379146E+08   
     155337         66737         17586.41     0.341680E+08     0.379145E+08   
     155687         66873         17616.41     0.341680E+08     0.379142E+08   
     156020         67009         17646.41     0.341680E+08     0.379139E+08   
     156323         67130         17676.38     0.341680E+08     0.379137E+08   
     156508         67201         17706.56     0.341680E+08     0.379134E+08   
     156589         67234         17736.72     0.341680E+08     0.379134E+08   
     156598+        67238         17766.77     0.341680E+08     0.379134E+08   
     156643         67256         17796.77     0.341680E+08     0.379133E+08   
     157015         67404         17826.81     0.341680E+08     0.379129E+08   
     157378         67562         17856.81     0.341680E+08     0.379125E+08   
     157702         67697         17886.80     0.341680E+08     0.379122E+08   
     158045         67841         17916.45     0.341680E+08     0.379120E+08   
     158391         67996         17946.38     0.341680E+08     0.379117E+08   
     158736         68149         17976.59     0.341680E+08     0.379112E+08   
     159007         68259         18000.06     0.341680E+08     0.379108E+08   

                    *** Max. allowable time exceeded ***      

 Wall clock time:                 18015.11
 Total CPU time used:             18000.06

 Total no. of BaR iterations:  159007
 Best solution found at node:       1
 Max. no. of nodes in memory:   68259
 
 All done
===========================================================================

Solution      = 34167967.9605538  found at node 1
Best possible = 37910846.9074
Absolute gap  = 3742878.94684616  optca = 1
Relative gap  = 0.0987284445527796  optcr = 0.0001

*** Status: Normal completion
--- Stop 11/21/24 21:08:58 elapsed 5:00:16.821
